id,name,artist,artist_followers,artist_genres,album,release_date,album_total_tracks,duration,explicit,popularity
2QeCJM7ZmVS8xwjjaHahhv,Tân Cổ Cánh Hoa Yêu,Vọng Cổ Việt Nam,88,[],Tân Cổ Cánh Hoa Yêu,2021-05-11,1,461,False,15
4qlh8lE1HAK9QhO6hYpu9A,Tân Cổ Ru Nửa Vầng Trăng,Vọng Cổ Việt Nam,88,[],Tân Cổ Ru Nửa Vầng Trăng,2021-01-11,1,517,False,11
0W5IsXzhv7l690pNXLQFeM,Tân Cổ Sao Út Nỡ Vội Lấy Chồng,Vọng Cổ Việt Nam,88,[],Tân Cổ Sao Út Nỡ Vội Lấy Chồng,2021-01-11,1,530,False,10
6JEJawcNecNh6W1fb4a6qE,Tân Cổ Con Đò Lỡ Hẹn,Vọng Cổ Việt Nam,88,[],Tân Cổ Con Đò Lỡ Hẹn,2021-10-11,1,558,False,10
5k0wsqLadgNbxv5nNl0tlb,Tân Cổ Buồn Trong Kỷ Niệm,Vọng Cổ Việt Nam,88,[],Tân Cổ Buồn Trong Kỷ Niệm,2021-10-11,1,556,False,9
0eRW4f7LcCabJp4fX0fQC9,Tân Cổ Chim Trắng Mồ Côi,Vọng Cổ Việt Nam,88,[],Tân Cổ Chim Trắng Mồ Côi,2021-10-11,1,539,False,9
400fPjt1lvxA4FR0DFUFaG,Tân Cổ Quán Nửa Khuya,Vọng Cổ Việt Nam,88,[],Tân Cổ Quán Nửa Khuya,2021-01-11,1,510,False,9
3MfHtLePUP5TXStdkM7MRT,Tân Cổ Đêm Mơ Em Hát Dân Ca,Vọng Cổ Việt Nam,88,[],Tân Cổ Đêm Mơ Em Hát Dân Ca,2021-10-11,1,527,False,8
7Mz5K15plDojVhCoHmMovg,Tân Cổ Tiền Thắng Tình Thua,Vọng Cổ Việt Nam,88,[],Tân Cổ Tiền Thắng Tình Thua,2021-01-11,1,455,False,8
1TPQApxiS5nzKdleTnU1L1,Trích Đoạn Máu Nhuộm Sân Chùa,Vọng Cổ Việt Nam,88,[],Trích Đoạn Máu Nhuộm Sân Chùa,2021-10-11,1,698,False,7
2TqjLbM2E5I4ce6iWTdXly,Hơn Em Chỗ Nào,Thùy Chi,476915,"['v-pop', 'vietnamese singer-songwriter']",Hơn Em Chỗ Nào,2022-12-05,2,296,False,54
69EwGs863aPS8olgCWtZ8J,Phiến Lá Tĩnh Lặng,Thùy Chi,476915,"['v-pop', 'vietnamese singer-songwriter']",Phiến Lá Tĩnh Lặng,2021-04-20,1,308,False,46
5bV1PnXi6B8kYl1OIUZKlu,"Giữ Em Đi - From ""Mùa Oải Hương Năm Ấy""",Thùy Chi,476915,"['v-pop', 'vietnamese singer-songwriter']",Mua Oai Huong Nam Ay - Lavender's Love Story (Original Television Soundtrack),2014,2,284,False,43
2iTzIxM3EcXXnWYyqnwbZ6,Xe Đạp,Thùy Chi,476915,"['v-pop', 'vietnamese singer-songwriter']",Tuổi Hoa Mộng,2017-09-25,12,285,False,43
7iYjIqTrM9fdncKjuDVnOa,Quê Tôi,Thùy Chi,476915,"['v-pop', 'vietnamese singer-songwriter']",The Best Of Thùy Chi 3,2017-05-31,9,270,False,39
1QoEs95UcKglqpcYx6qam1,Con Đường Hạnh Phúc,Thùy Chi,476915,"['v-pop', 'vietnamese singer-songwriter']",The Best Of Thùy Chi 2,2012-12-15,14,303,False,37
7mGnyV8iszJprTTUxD3aua,Giấc Mơ Trưa,Thùy Chi,476915,"['v-pop', 'vietnamese singer-songwriter']",The Best Of Thùy Chi 1,2012-05-10,15,341,False,37
7G53KNMkppNKzbVDA4KhaK,Nói Chia Tay Thật Khó (feat. Trấn Thành),Thùy Chi,476915,"['v-pop', 'vietnamese singer-songwriter']",Nói Chia Tay Thật Khó,2020-10-20,2,331,False,35
5c6tRxRI8RfJDx1bjmOrWD,"Không Sao Mà, Em Đây Rồi (Thong Dong Mà Hát)",Thùy Chi,476915,"['v-pop', 'vietnamese singer-songwriter']","Không Sao Mà, Em Đây Rồi (Thong Dong Mà Hát)",2022-06-20,1,184,False,33
0RLK2sJy7YiSymsdQtr6YD,Mong Manh Tình Về,Thùy Chi,476915,"['v-pop', 'vietnamese singer-songwriter']",The Best Of Thùy Chi 3,2017-05-31,9,307,False,32
6VXVYATpQXEIoZ97NnWCmn,Vì Anh Đâu Có Biết,Vũ.,1422796,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']",Vì Anh Đâu Có Biết,2022-08-04,1,242,False,65
7eDrdQ7PK9Xm1CZCKWsgmH,Anh Nhớ Ra (feat. TRANG),Vũ.,1422796,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']",Một Vạn Năm,2022-09-09,9,276,False,61
5Bti0azlFhMattVY76qFr9,Lạ Lùng,Vũ.,1422796,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']",Lạ Lùng,2016-12-24,1,262,False,59
38rjRVqEHSlDRrDWDvjkqW,Bước Qua Nhau,Vũ.,1422796,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']",Một Vạn Năm,2022-09-09,9,258,False,56
6uxuJ8Fr1AAfSPJUF9N1yr,Bước Qua Mùa Cô Đơn,Vũ.,1422796,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']",Một Vạn Năm,2022-09-09,9,279,False,55
2LhaQUFez282XCuTDSTDcV,Cô Ta,Vũ.,1422796,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']",Một Vạn Năm,2022-09-09,9,214,False,56
0B1ZnYwYefkNhZeE8ZQpv5,Đông Kiếm Em,Vũ.,1422796,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']",Đông Kiếm Em,2015-03-28,1,246,False,52
3LGNVNZeEIUwdzDvnUO73V,Phút Ban Đầu,Vũ.,1422796,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']",Phút Ban Đầu,2013-03-28,1,243,False,52
4fBZ8DOoxcZeEl7GyQdnUF,Chậm Lại,Vũ.,1422796,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']",Một Vạn Năm,2022-09-09,9,223,False,48
2XjbfQQZlPwOMTmJR2RLfC,Happy For You (feat. Vũ.),Vũ.,1422796,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']",Happy For You (feat. Vũ.),2021-07-02,2,226,False,47
5iN9Ok2bsAE2lCBVEx9L1U,Cheri Cheri Lady - Remix,IOF Viet Nam,96,[],Cheri Cheri Lady (Remix),2022-07-07,1,193,False,24
0eAWyR4wHynLdc9A0VTVQP,Lửng Lơ - Remix,IOF Viet Nam,96,[],Lửng Lơ (Remix),2022-07-07,1,258,False,21
0NIjRHPH7vq56ZaEgfk1DD,Ngày Chưa Giông Bão - Remix,IOF Viet Nam,96,[],Ngày Chưa Giông Bão (Remix),2022-06-29,1,203,False,14
2OCkw2aRFHZJ3k9zy07g5x,Xa Vắng - Remix,IOF Viet Nam,96,[],Xa Vắng (Remix),2022-07-24,1,142,False,12
5yANdLi61sbT2gBK1jIGVV,Tay Trái Chỉ Trăng - Remix,IOF Viet Nam,96,[],Tay Trái Chỉ Trăng (Remix),2022-06-28,1,244,False,11
3SLjbUMFZ3xSuTy4mtIu7L,Mang Tiền Về Cho Vợ,IOF Viet Nam,96,[],Mang Tiền Về Cho Vợ,2022-01-17,1,110,False,4
7AlBL7OIR2BbrEjrk2cjyL,Những Lời Dối Gian - Remix,IOF Viet Nam,96,[],Những Lời Dối Gian (Remix),2022-06-28,1,282,False,2
7rhxCitKSNsI4f1FB5Iq76,Em Tên Thiên Lý - Võ Tuấn Kiệt Remix,IOF Viet Nam,96,[],Em Tên Thiên Lý (Võ Tuấn Kiệt Remix),2022-04-14,1,121,False,1
2mwVxrwLORLTNznZRZBjK5,Ngôi Sao Cô Đơn,Jack - J97,446147,['v-pop'],Ngôi Sao Cô Đơn,2022-07-19,1,276,False,47
0J2otOvMdg62gVMMjwOvSK,Hoa Hải Đường,Jack - J97,446147,['v-pop'],Hoa Hải Đường,2020-09-22,1,230,False,47
5Ojsg9xR0wlTpDIW1qLYz2,Đom Đóm,Jack - J97,446147,['v-pop'],Đom Đóm,2020-12-26,1,325,False,44
1DGMY1dAVhuL2Hb5khNWTn,Ngôi Sao Cô Đơn - Lo-fi Ver.,Jack - J97,446147,['v-pop'],Ngôi Sao Cô Đơn (Lo-fi Ver.),2022-07-30,1,284,False,37
7fjELpY3Zbi8qRqWCWLz9B,Là 1 Thằng Con Trai,Jack - J97,446147,['v-pop'],Là 1 Thằng Con Trai,2021-01-05,1,246,False,35
2LGzyLnrLdk3JmFPw9Ef5K,hồng nhan - Piano slowed version,Jack - J97,446147,['v-pop'],hồng nhan (Piano slowed version),2022-02-25,1,384,False,31
7LVrrX8pkzI9fMF88nGabt,Đi Về Nhà,JustaTee,626779,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",Đi Về Nhà,2020-12-20,1,200,False,63
27Z9T0mSWHYWSj9SNOGvyt,Thằng Điên,JustaTee,626779,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",Thằng Điên,2022-07-11,1,234,False,58
3DLtPObflLQBodZN8qGODT,2AM,JustaTee,626779,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",2AM,2022-05-10,1,258,False,58
5kJMW3pK49PvQDtpVryHf5,Forget About Her,JustaTee,626779,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",KOSMIK,2022-10-31,11,218,False,56
2FWBdovgRvBSzA1JESUe0D,Làm Gì Phải Hốt,JustaTee,626779,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",Làm Gì Phải Hốt,2020-01-05,1,189,False,54
02Jf3KszL1FB1kG6CILEWE,Vì Yêu Cứ Đâm Đầu,JustaTee,626779,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",Vì Yêu Cứ Đâm Đầu,2019-11-10,1,231,False,52
3J3nv18iIrOhca1ZWNeuyW,Đã Lỡ Yêu Em Nhiều,JustaTee,626779,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",Đã Lỡ Yêu Em Nhiều,2022-07-11,1,261,False,51
37PyxXH5vlbNcYwxOHbfFn,A Veil of Mist,JustaTee,626779,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",KOSMIK,2022-10-31,11,302,False,50
7abJKdWP25uct1mcCrWNZw,Đố em biết anh đang nghĩ gì,JustaTee,626779,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",Đố em biết anh đang nghĩ gì,2018-09-08,1,246,False,50
1pQHqk6qWM5xbNeobMCGBZ,Dân Chơi Xóm (feat. RPT MCK & JustaTee),JustaTee,626779,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",Rap Việt Tập 16,2020-11-16,7,153,False,47
0L1eH2FZJBDb8qkjHS7In1,Nơi Lòng Nhân Trải Bước Thành Công,Chubb Life Việt Nam,2,[],Nơi Lòng Nhân Trải Bước Thành Công,2022-10-16,1,215,False,11
5dcOHWnhM0w2wmK8Y7yDLE,Vì Bạn Là Cả Thế Giới (Chubb Life Việt Nam),Chubb Life Việt Nam,2,[],Vì Bạn Là Cả Thế Giới (Chubb Life Việt Nam),2022-04-27,1,180,False,4
1EPSczm2VQjyxTQ8DMRQ7Y,Ai Mang Cô Đơn Đi,K-ICM,101943,['v-pop'],Ai Mang Cô Đơn Đi,2020-08-28,1,221,False,40
6qyjXdIRk2aZNjDj6a36vQ,Buồn Của Anh,K-ICM,101943,['v-pop'],Buồn Của Anh,2019-02-26,1,288,False,37
70ITCQNtnmDmPuV8D3HXGv,Con Trai Cưng,K-ICM,101943,['v-pop'],K-ICM Collections,2020-09-06,5,192,False,34
1VChMTkDKFGTcuq487bmIZ,Đã Từng Có Nhau,K-ICM,101943,['v-pop'],Đã Từng Có Nhau,2022-07-09,1,290,False,34
50DtxRh2Y85qhAbe4ra1ut,Chơi Vơi,K-ICM,101943,['v-pop'],Chơi Vơi,2022-04-20,1,278,False,27
0nFMOC9EuRBPXNgP06kvLm,Buồn Của Anh (K-ICM Remix),K-ICM,101943,['v-pop'],Buồn Của Anh (K-ICM Remix),2018-08-01,2,341,False,25
3ZnSFTWN1pGaGaXjyuCmrd,Lệ Duyên Tình - Verion Lofi,K-ICM,101943,['v-pop'],Lệ Duyên Tình (Version Lofi),2021-05-19,1,244,False,25
2BHDOJZCAvJ4JZT4AsYmwd,Túy Họa,K-ICM,101943,['v-pop'],Túy Họa,2020-07-03,1,257,False,24
3bYuA348pyoVzgqBL3HuMf,Hoa Không Hương,K-ICM,101943,['v-pop'],Hoa Không Hương,2022-07-12,1,260,False,23
4xZ0aOYJSofSbwVSsDFk1J,Liếc Mắt Đưa Tình (Ogles),K-ICM,101943,['v-pop'],Liếc Mắt Đưa Tình (Ogles),2020-11-30,1,215,False,22
6VXVYATpQXEIoZ97NnWCmn,Vì Anh Đâu Có Biết,Madihu,79761,"['indie viet', 'v-pop', 'vietnamese melodic rap']",Vì Anh Đâu Có Biết,2022-08-04,1,242,False,65
6Hs2xIgB8nzyGFDvVA8lFa,Có Em (feat. Low G),Madihu,79761,"['indie viet', 'v-pop', 'vietnamese melodic rap']",Có Em (feat. Low G),2022-04-22,1,219,False,64
7MObIQOs5ESkbcihA9dcsz,Có Khi (feat. Low G),Madihu,79761,"['indie viet', 'v-pop', 'vietnamese melodic rap']",Có Khi (feat. Low G),2022-10-13,1,259,False,55
5DjJXl38Qz413nIMbnDYYh,hai triệu năm - Madihu mix,Madihu,79761,"['indie viet', 'v-pop', 'vietnamese melodic rap']",hai triệu năm (Madihu mix),2019-09-11,1,210,False,45
3stYwdAaZR0xwEKSocKIXg,Đố em biết anh đang nghĩ gì - Remix,Madihu,79761,"['indie viet', 'v-pop', 'vietnamese melodic rap']",Đố em biết anh đang nghĩ gì (Remix),2018-12-27,1,228,False,41
6gBopRniofqiNHeGzEg8Ns,EM ĐÂU CẦN (feat. tlinh),Madihu,79761,"['indie viet', 'v-pop', 'vietnamese melodic rap']",EM ĐÂU CẦN (feat. tlinh),2022-05-08,1,196,False,39
2H4FpzEIWPFG9ZUFY0p7Dy,Có Em - Solo Version,Madihu,79761,"['indie viet', 'v-pop', 'vietnamese melodic rap']",Có,2022-10-20,6,218,False,39
30HzYMw8Sk09Xg0FWUr3CR,Thôi hẹn em,Madihu,79761,"['indie viet', 'v-pop', 'vietnamese melodic rap']",Bụi Mơ,2020-12-16,5,231,False,36
2PXzdVQyUMSS5M5jdT0mYe,Vườn mây,Madihu,79761,"['indie viet', 'v-pop', 'vietnamese melodic rap']",Bụi Mơ,2020-12-16,5,218,False,36
7wVdlzTiJzSCozodzpxXF4,Hai người xa,Madihu,79761,"['indie viet', 'v-pop', 'vietnamese melodic rap']",nguoiMaiDichcodon,2016-12-30,6,285,False,31
1BL4zOXvmsjFEVPX6yfula,Người Tình Mùa Đông,Jack Viet Nam,440,[],Tình Nồng,2020-01-01,5,225,False,13
4balNdQQivhS9GkpiWW9RR,Người Tình Mùa Đông,Jack Viet Nam,440,[],Tình Nồng,2020-01-01,5,199,False,4
7y28dOaFBdDkHJOWtxJpM6,Lâu Đài Tình Ái,Mai Chí Công,201,[],Lâu Đài Tình Ái,2021-12-16,1,260,False,18
1TVt8WrHdXSd21kIhuv77e,Một Lần Dang Dở,Mai Chí Công,201,[],Một Lần Dang Dở,2021-12-16,1,90,False,5
4kTdCxFB3POqbCvIKk028M,Thương Cả Khi Trong Mơ,Mai Chí Công,201,[],Thương Cả Khi Trong Mơ,2021-07-30,1,156,False,4
6T1iANNjdQ0gPQoKwz5h4K,Hoàng Kim,Mai Chí Công,201,[],Bài Hát Hay Nhất - Big Song Big Deal (Tập 4),2022-10-23,5,179,False,3
65EaxsiKbPQhvLoF8YYgWO,Tìm Được Tình Yêu Ở Một Nơi Xa,Mai Chí Công,201,[],Bài Hát Hay Nhất - Big Song Big Deal (Tập 9),2022-11-27,5,150,False,3
1tR5DppEP4JVYyXFYVsovq,Đây Là Một Bài Hát Tết,Mai Chí Công,201,[],Đây Là Một Bài Hát Tết,2022-01-24,1,176,False,3
5cZ5Q9QgeVk61FcCuIgnz3,Mượn Một Giấc Mơ,Mai Chí Công,201,[],Bài Hát Hay Nhất - Big Song Big Deal (Tập 12),2022-12-19,5,180,False,1
0AJi38NumMDXqo8pRw6zdh,LẦN CUỐI (đi bên em xót xa người ơi),Ngọt,404970,"['indie viet', 'rock viet', 'v-pop']",3 (tuyển tập nhạc Ngọt mới trẻ sôi động 2019),2019-06-10,14,223,False,56
2zRzmGerfTxc2epZHgaTdh,Cho Tôi Lang Thang,Ngọt,404970,"['indie viet', 'rock viet', 'v-pop']",Cho Tôi Lang Thang,2018-03-27,1,259,False,56
6Wi18yv3aoO0ZF4uulguof,Đá tan,Ngọt,404970,"['indie viet', 'rock viet', 'v-pop']",Gieo,2022-11-25,11,202,False,56
4r7hIDwLsasMfj6nk2Wrib,Thấy Chưa,Ngọt,404970,"['indie viet', 'rock viet', 'v-pop']",Gieo,2022-11-25,11,232,False,50
4rPrBNnDgdZpS5gosHv0yr,để quên,Ngọt,404970,"['indie viet', 'rock viet', 'v-pop']",để quên,2021-04-21,1,171,False,53
3r0ITWT6gqPHhVjwRsMu5d,Em Dạo Này,Ngọt,404970,"['indie viet', 'rock viet', 'v-pop']",Ng'bthg,2017-09-23,8,202,False,51
0uRpE3YtszcI37nUSBusmq,Điểm Đến Cuối Cùng,Ngọt,404970,"['indie viet', 'rock viet', 'v-pop']",Gieo,2022-11-25,11,214,False,50
1UDAnignfiklanSQ6MfPUE,Bạn thỏ tivi nhỏ,Ngọt,404970,"['indie viet', 'rock viet', 'v-pop']",Gieo,2022-11-25,11,269,False,50
1eXc2ZMStMsQ5cuUrFCnlO,Mất Tích,Ngọt,404970,"['indie viet', 'rock viet', 'v-pop']",Gieo,2022-11-25,11,272,False,50
0ON38MgDpAMcRC9ULx7NOf,Em Trong Đầu,Ngọt,404970,"['indie viet', 'rock viet', 'v-pop']",Gieo,2022-11-25,11,198,False,49
5gY81MacLDFNq51tEpZapb,"Hồ Chí Minh Đẹp Nhất Tên Người - ""Khát Vọng Mùa Xuân"" Mừng Đảng, Mừng Xuân Nhân Dần 2022",Học Viện Âm Nhạc Quốc Gia Việt Nam,1,[],"Ngày Tết Quê Em (""Khát Vọng Mùa Xuân"" Mừng Đảng, Mừng Xuân Nhân Dần 2022)",2022-09-08,13,271,False,0
5gib8nfzbz3hRYj7pv8nEc,Diệt Phát Xít - Lễ Kỷ Niệm 110 Năm Ngày Sinh Tổng Bí Thư Nguyễn Văn Cừ,Học Viện Âm Nhạc Quốc Gia Việt Nam,1,[],Diệt Phát Xít (Lễ Kỷ Niệm 110 Năm Ngày Sinh Tổng Bí Thư Nguyễn Văn Cừ),2022-08-18,1,254,False,0
2PHS9pOXmMrkL5JA9zW9Qq,Cùng Nhau Đi Hồng Binh,Học Viện Âm Nhạc Quốc Gia Việt Nam,1,[],Bài Ca Thiếu Niên Du Kích Đình Bảng (Lễ Kỷ Niệm 70 Năm Thành Lập Đội Thiếu Niên Du Kích Đình Bảng),2022-09-06,9,223,False,0
4QdQ7YdmV8MNlz8vT32wcn,Nguyệt Hạ Tiền Hoa (Hồ Quang Hiếu),Nam Viet Media,5,[],Nguyệt Hạ Tiền Hoa (Hồ Quang Hiếu),2020-11-16,1,205,False,3
7JKYHoU2GqKTte6lLIL60e,Việt Nam Trong Tôi Là,Phạm Linh Phương,74,[],Việt Nam Trong Tôi Là,2021-03-16,1,214,False,28
3rV6Fwc5hcIqEVtjVzOh3l,Mẹ Yêu Con,Phạm Linh Phương,74,[],Mẹ Yêu Con,2020-03-16,1,221,False,22
1b9Us4P6YdtUPGocOSAHHY,Hello Việt Nam,Phạm Linh Phương,74,[],Hello Việt Nam,2021-03-16,1,272,False,20
2FD1T7HGlscHZeYBEdIT1C,Cha Và Con Gái,Phạm Linh Phương,74,[],Cha Và Con Gái,2021-03-16,1,394,False,12
3zueD7pHOF0yuI8PGA9vfD,Bà Tôi,Phạm Linh Phương,74,[],Bà Tôi,2020-03-16,1,382,False,12
2DK0hpHAOMHWQmKEpBa41J,This Love,Phạm Linh Phương,74,[],This Love,2021-03-16,1,226,False,7
4XI0HAkFFJyIQwZPVZPI5E,Nâng Được Thì Buông Được,Phạm Linh Phương,74,[],Nâng Được Thì Buông Được,2021-03-16,1,237,False,4
7JwRQpaoYPhon8gDXT41JE,Cha Già Rồi Đúng Không,Phạm Linh Phương,74,[],Cha Già Rồi Đúng Không,2021-03-16,1,287,False,2
0w7YngXrGdRiSIMyDbKFSo,Hạt Gạo Làng Ta,Phạm Linh Phương,74,[],Hạt Gạo Làng Ta,2019-03-16,1,237,False,2
0sGOGCDOTwcKtdgeUcaIAQ,Cây Vĩ Cầm,Phạm Linh Phương,74,[],Cây Vĩ Cầm,2021-03-16,1,314,False,2
7LVrrX8pkzI9fMF88nGabt,Đi Về Nhà,Đen,2916296,"['indie viet', 'v-pop', 'vietnamese hip hop', 'vietnamese trap']",Đi Về Nhà,2020-12-20,1,200,False,63
25edeHHueINMguqu9emCyV,Lối Nhỏ,Đen,2916296,"['indie viet', 'v-pop', 'vietnamese hip hop', 'vietnamese trap']",Lối Nhỏ,2019-10-21,1,253,False,60
2nR51wakN5K3AJENqGaNg9,Bài Này Chill Phết,Đen,2916296,"['indie viet', 'v-pop', 'vietnamese hip hop', 'vietnamese trap']",Bài Này Chill Phết,2019,1,276,False,57
2zRzmGerfTxc2epZHgaTdh,Cho Tôi Lang Thang,Đen,2916296,"['indie viet', 'v-pop', 'vietnamese hip hop', 'vietnamese trap']",Cho Tôi Lang Thang,2018-03-27,1,259,False,56
28ncfVOBRp3HGweSZ6Wb8C,Đưa Nhau Đi Trốn - Chill Version,Đen,2916296,"['indie viet', 'v-pop', 'vietnamese hip hop', 'vietnamese trap']",Đưa Nhau Đi Trốn (Chill Version),2015-09-11,1,242,False,54
2FWBdovgRvBSzA1JESUe0D,Làm Gì Phải Hốt,Đen,2916296,"['indie viet', 'v-pop', 'vietnamese hip hop', 'vietnamese trap']",Làm Gì Phải Hốt,2020-01-05,1,189,False,54
51bYFYWODfYOZU0rwvjiCc,Cho Mình Em,Đen,2916296,"['indie viet', 'v-pop', 'vietnamese hip hop', 'vietnamese trap']",Cho Mình Em,2021-04-01,1,206,False,53
1WCAkmmTM06in2ojuQ9CK5,Ai muốn nghe không,Đen,2916296,"['indie viet', 'v-pop', 'vietnamese hip hop', 'vietnamese trap']",Ai muốn nghe không,2022-06-12,1,308,False,53
6SjnTRDyTM162pPOAM0O8M,Gieo Quẻ (feat. Den),Đen,2916296,"['indie viet', 'v-pop', 'vietnamese hip hop', 'vietnamese trap']",LINK,2022-08-11,9,199,False,53
3pgwxYRPbYIC6C1J2FPge8,Diễn viên tồi,Đen,2916296,"['indie viet', 'v-pop', 'vietnamese hip hop', 'vietnamese trap']",Diễn viên tồi,2022-09-13,1,350,False,52
61ozPivM5v7sCGZxcFLwsw,Tâm Tình Hiến Dâng,Cộng Đồng Công Giáo Việt Nam Montréal,54,[],Ca nguyện Tri ân (40 Năm Hồng Ân),2020-01-07,13,313,False,1
5Ji4sqojuyYHLKGsk2Ajr5,Khúc Ca Tạ Ơn,Cộng Đồng Công Giáo Việt Nam Montréal,54,[],Ca nguyện Tri ân (40 Năm Hồng Ân),2020-01-07,13,276,False,1
