name,artist,artist_followers,artist_genres,album,release_date,album_total_tracks,duration,explicit,popularity
Tân Cổ Cánh Hoa Yêu,Vọng Cổ Việt Nam,84,[],Tân Cổ Cánh Hoa Yêu,2021-05-11,1,461098,False,14
Tân Cổ Ru Nửa Vầng Trăng,Vọng Cổ Việt Nam,84,[],Tân Cổ Ru Nửa Vầng Trăng,2021-01-11,1,517289,False,11
Tân Cổ Sao Út Nỡ Vội Lấy Chồng,Vọng Cổ Việt Nam,84,[],Tân Cổ Sao Út Nỡ Vội Lấy Chồng,2021-01-11,1,529642,False,11
Tân Cổ Con Đò Lỡ Hẹn,Vọng Cổ Việt Nam,84,[],Tân Cổ Con Đò Lỡ Hẹn,2021-10-11,1,557823,False,10
Tân Cổ Buồn Trong Kỷ Niệm,Vọng Cổ Việt Nam,84,[],Tân Cổ Buồn Trong Kỷ Niệm,2021-10-11,1,556309,False,9
Tân Cổ Chim Trắng Mồ Côi,Vọng Cổ Việt Nam,84,[],Tân Cổ Chim Trắng Mồ Côi,2021-10-11,1,538517,False,9
Tân Cổ Quán Nửa Khuya,Vọng Cổ Việt Nam,84,[],Tân Cổ Quán Nửa Khuya,2021-01-11,1,509781,False,9
Tân Cổ Tiền Thắng Tình Thua,Vọng Cổ Việt Nam,84,[],Tân Cổ Tiền Thắng Tình Thua,2021-01-11,1,455061,False,7
Tân Cổ Đêm Mơ Em Hát Dân Ca,Vọng Cổ Việt Nam,84,[],Tân Cổ Đêm Mơ Em Hát Dân Ca,2021-10-11,1,526741,False,7
Trích Đoạn Máu Nhuộm Sân Chùa,Vọng Cổ Việt Nam,84,[],Trích Đoạn Máu Nhuộm Sân Chùa,2021-10-11,1,698282,False,7
Hơn Em Chỗ Nào,Thùy Chi,473376,"['v-pop', 'vietnamese singer-songwriter']",Hơn Em Chỗ Nào,2022-12-05,2,295750,False,52
Phiến Lá Tĩnh Lặng,Thùy Chi,473376,"['v-pop', 'vietnamese singer-songwriter']",Phiến Lá Tĩnh Lặng,2021-04-20,1,307621,False,45
"Giữ Em Đi - From ""Mùa Oải Hương Năm Ấy""",Thùy Chi,473376,"['v-pop', 'vietnamese singer-songwriter']",Mua Oai Huong Nam Ay - Lavender's Love Story (Original Television Soundtrack),2014,2,284457,False,42
Xe Đạp,Thùy Chi,473376,"['v-pop', 'vietnamese singer-songwriter']",Tuổi Hoa Mộng,2017-09-25,12,285457,False,42
Quê Tôi,Thùy Chi,473376,"['v-pop', 'vietnamese singer-songwriter']",The Best Of Thùy Chi 3,2017-05-31,9,269531,False,37
Con Đường Hạnh Phúc,Thùy Chi,473376,"['v-pop', 'vietnamese singer-songwriter']",The Best Of Thùy Chi 2,2012-12-15,14,303177,False,36
Giấc Mơ Trưa,Thùy Chi,473376,"['v-pop', 'vietnamese singer-songwriter']",The Best Of Thùy Chi 1,2012-05-10,15,341106,False,36
Nói Chia Tay Thật Khó (feat. Trấn Thành),Thùy Chi,473376,"['v-pop', 'vietnamese singer-songwriter']",Nói Chia Tay Thật Khó,2020-10-20,2,331084,False,34
"Không Sao Mà, Em Đây Rồi (Thong Dong Mà Hát)",Thùy Chi,473376,"['v-pop', 'vietnamese singer-songwriter']","Không Sao Mà, Em Đây Rồi (Thong Dong Mà Hát)",2022-06-20,1,184385,False,32
Mong Manh Tình Về,Thùy Chi,473376,"['v-pop', 'vietnamese singer-songwriter']",The Best Of Thùy Chi 3,2017-05-31,9,307278,False,31
Vì Anh Đâu Có Biết,Vũ.,1401707,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']",Vì Anh Đâu Có Biết,2022-08-04,1,241919,False,64
Anh Nhớ Ra (feat. TRANG),Vũ.,1401707,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']",Một Vạn Năm,2022-09-09,9,276500,False,59
Lạ Lùng,Vũ.,1401707,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']",Lạ Lùng,2016-12-24,1,261616,False,57
Bước Qua Nhau,Vũ.,1401707,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']",Một Vạn Năm,2022-09-09,9,257647,False,55
Cô Ta,Vũ.,1401707,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']",Một Vạn Năm,2022-09-09,9,214500,False,55
Bước Qua Mùa Cô Đơn,Vũ.,1401707,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']",Một Vạn Năm,2022-09-09,9,278823,False,54
Đông Kiếm Em,Vũ.,1401707,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']",Đông Kiếm Em,2015-03-28,1,246043,False,51
Phút Ban Đầu,Vũ.,1401707,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']",Phút Ban Đầu,2013-03-28,1,243226,False,50
Chậm Lại,Vũ.,1401707,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']",Một Vạn Năm,2022-09-09,9,223384,False,47
Happy For You (feat. Vũ.),Vũ.,1401707,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']",Happy For You (feat. Vũ.),2021-07-02,2,226402,False,46
Cheri Cheri Lady - Remix,IOF Viet Nam,95,[],Cheri Cheri Lady (Remix),2022-07-07,1,193073,False,21
